time	V(n002)
9.059499999999979e-009	1.922418e-004
9.061928571428549e-009	2.050578e-004
9.064357142857120e-009	2.169710e-004
9.066785714285689e-009	2.279815e-004
9.069214285714260e-009	2.380892e-004
9.071642857142830e-009	2.472941e-004
9.074071428571401e-009	2.555963e-004
9.076499999999971e-009	2.629957e-004
9.080214285714255e-009	2.731876e-004
9.083928571428537e-009	2.824530e-004
9.087642857142822e-009	2.907919e-004
9.091357142857106e-009	2.982043e-004
9.095071428571390e-009	3.046901e-004
9.098785714285673e-009	3.102495e-004
9.102499999999957e-009	3.148824e-004
9.108357142857097e-009	3.210407e-004
9.114214285714237e-009	3.262939e-004
9.120071428571377e-009	3.306419e-004
9.125928571428516e-009	3.340847e-004
9.131785714285656e-009	3.366223e-004
9.137642857142796e-009	3.382548e-004
9.143499999999936e-009	3.389820e-004
9.149499999999933e-009	3.393456e-004
9.155499999999929e-009	3.393373e-004
9.161499999999926e-009	3.389570e-004
9.167499999999923e-009	3.382048e-004
9.173499999999920e-009	3.370808e-004
9.179499999999917e-009	3.355848e-004
9.185499999999914e-009	3.337169e-004
9.186499999999913e-009	3.334002e-004
9.202499999999905e-009	3.269482e-004
9.218499999999897e-009	3.199684e-004
9.234499999999888e-009	3.124607e-004
9.250499999999880e-009	3.044251e-004
9.266499999999872e-009	2.958616e-004
9.282499999999863e-009	2.867702e-004
9.298499999999855e-009	2.771510e-004
9.338357142856977e-009	2.539876e-004
9.378214285714100e-009	2.322619e-004
9.418071428571222e-009	2.119740e-004
9.457928571428343e-009	1.931237e-004
9.497785714285465e-009	1.757113e-004
9.537642857142587e-009	1.597365e-004
9.577499999999710e-009	1.451995e-004
9.667785714285377e-009	1.200751e-004
9.758071428571045e-009	9.841288e-005
9.848357142856712e-009	8.021288e-005
9.938642857142379e-009	6.547508e-005
1.002892857142805e-008	5.419950e-005
1.011921428571371e-008	4.638613e-005
1.020949999999938e-008	4.203496e-005
1.021049999999938e-008	4.197298e-005
1.035664285714216e-008	3.543819e-005
1.050278571428494e-008	2.986644e-005
1.064892857142772e-008	2.525772e-005
1.079507142857051e-008	2.161204e-005
1.094121428571329e-008	1.892939e-005
1.108735714285607e-008	1.720978e-005
1.123349999999885e-008	1.645320e-005
1.123449999999885e-008	1.644398e-005
1.225849999999831e-008	1.067570e-005
1.328249999999778e-008	8.081895e-006
1.430649999999725e-008	6.597798e-006
1.533049999999743e-008	5.639450e-006
1.635449999999859e-008	4.972040e-006
1.737849999999975e-008	4.482427e-006
1.800000000000000e-008	4.244778e-006
1.800009999999991e-008	3.484479e-005
1.800029999999973e-008	9.596103e-005
1.800069999999937e-008	2.178334e-004
1.800149999999864e-008	4.617643e-004
1.800249999999864e-008	7.759185e-004
1.800349999999864e-008	1.111002e-003
1.800449999999864e-008	1.463191e-003
1.800649999999865e-008	2.170630e-003
1.800849999999865e-008	2.862484e-003
1.800900000000000e-008	3.032660e-003
1.801000000000000e-008	3.370356e-003
1.801010000000000e-008	3.367663e-003
1.801030000000000e-008	3.362285e-003
1.802261428571430e-008	3.052812e-003
1.803492857142860e-008	2.766676e-003
1.804724285714290e-008	2.503876e-003
1.805955714285720e-008	2.264412e-003
1.807187142857150e-008	2.048284e-003
1.808418571428580e-008	1.855493e-003
1.809650000000010e-008	1.686038e-003
1.810950000000011e-008	1.522663e-003
1.812250000000013e-008	1.372155e-003
1.813550000000014e-008	1.234515e-003
1.814850000000015e-008	1.109742e-003
